"Author","year","doi","title","journal","url","keywords","open data (yes, no)","open code (yes, no)","open material (yes, no)","preregistration yes/no","longitudinal design (LD), cross-sectional design (CD), unclear","n_with_exclusions","n_female_total","age_mean_total","age_sd_total","mental health disorder exclusion (yes, no, unclear, not reported, only control group, partially)","Was an individual level analysis conducted in the study? group/ individual level analysis, both","If an individual level analysis was conducted in the study, what was the variable of interest? (e.g. sex/ gender, STAI, IUS, BDI, multiple)","Was the normal distribution checked? answers: dependent variable, independent variable, residuals, mixed, not reported","If yes, how? (e.g., specific test or visually), if no: NA","If yes, was the normal distribution tested before or after transformation procedure? answers: before, after, both, not reported. if no: NA","Was the homoscedasticity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...24","Was the sphericity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...26","Was the independence of residuals checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...28","Was the linearity checked? answers: yes, not reported","If yes, how?  (e.g., specific test or visually), if no: NA...30","Was the multicollinearity checked? answers: yes, not reported","If yes, how?   (e.g., specific test or visually), if no: NA","outlier removal reported? yes, no (this refers to quantitative measures such as +/-3SD and not qualitative ones (artifacts, zero responses)","outlier refer to: subjects, trials, both, NA, not reported","outlier criterion (e.g., +/- 2SD; this refers to quantitative measures such as +/-2SD and not qualitative ones (artifacts, zero responses)","HR (BPM)","HRV","EMG orbicularis oculi","EMG startle","SCR","SCL","EYE tracking","PUPIL SIZE","specification of data transformation method (e.g. range correction formula), not reported (if there are multiple different specifications for multiple outcome measures, extract them all)","is there a rationale for specific data transformation procedure (e.g. guideline)? yes/ no","which rationale? (e.g. guideline/ ref/ not reported)","was the transformation applied (AND EXPLICITELY STATED IN THE METHODS SECTION) on trial level or on an average-level (across trials)/ other/ or not reported (if this is done differently for various outcome measures, indicate it)","Stastistical model: within, between or mixed design? (e.g., paired t-test = within, independent t-test = between)","If within or mixed: how many within factor levels (of largest within factor)? (e.g., two different CS stimuli = two within factors)","Main statistical test: t-test, AN(C)OVA, correlation, regression, mixed model, other (ask Perplexity.ai with copy pasting info from the method section)","Main statistical test: further specification (e.g., non-parametric test), if ANCOVA: centered covariate?, if mixed model: paste formula here, of other: name of test (e.g. chi-squared, MANOVA)","reviewer_ID","comment","...54","...1","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53"
"Wong, Alex H. K. and Lovibond, Peter F.","2021","10.1037/emo0000739","Breakfast or bakery? The role of categorical ambiguity in overgeneralization of learned fear in trait anxiety","Emotion","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-22762-001&site=ehost-live","ambiguity;Anxiety;categorical induction;Classical Conditioning;Cognitive Generalization;Conditioned Fear;Fear;fear conditioning;generalization;Shock;Stimulus Ambiguity;Stimulus Novelty;Test Construction;Threat;trait anxiety","no","no","no","no","CD","70","40","19.7","2.9","no","both","Trait anxiety (DASS-21)","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects",NA,NA,NA,NA,NA,NA,"log",NA,NA,"log","no",NA,"trial-level","mixed","6","Mixed-model ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vansteenwegen, Debora and Francken, Geert and Vervliet, Bram and De Clercq, Armand and Eelen, Paul","2006","10.1037/0097-7403.32.1.71","Resistance to extinction in evaluative conditioning","Journal of Experimental Psychology: Animal Behavior Processes","https://search.ebscohost.com/login.aspx?direct=true&db=pdh&AN=2006-00921-006&site=ehost-live","Adolescent;Adult;Affect;affective priming;Conditioning;Conditioning (Psychology);electrodermal responding;evaluative conditioning;expectancy learning;extinction;Extinction (Learning);Extinction, Psychological;Female;Galvanic Skin Response;Humans;Learning;Male;Priming;resistance;Resistance","no","no","no","no","CD","144","114","19.25",NA,"not reported","both","SCR, RT, US-expectancy, and evaluative ratings","dependent variable","square root, log transfomation","after","not reported",NA,"yes","Greenhouse–Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"yes","trials"," Trials with reaction times <300 ms or >1,000 ms ",NA,NA,NA,NA,"sqrt",NA,NA,NA,NA,"no",NA,"not reported","mixed","3","Exp1: Repeated-measures ANOVA / Exp2: Mixed ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vansteenwegen D and Iberico C and Vervliet B and Marescau V and Hermans D","2008","10.1016/j.biopsycho.2007.08.012","Contextual fear induced by unpredictability in a human fear conditioning preparation is related to the chronic expectation of a threatening US.","Biological psychology","https://pubmed.ncbi.nlm.nih.gov/17936495/","Adolescent;Adult;Conditioning, Psychological/*physiology;Cues;Data Interpretation, Statistical;Electromyography;Electroshock;Fear/*physiology;Female;Galvanic Skin Response/physiology;Humanism;Humanities;Humans;Male;Photic Stimulation;Reflex, Startle/physiology","no","no","no","no","CD","49","23","18.81","2.26","not reported","both","US-expectancy, FPSR, SCR","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,"raw","raw","sqrt / rc",NA,NA,NA,"SCR: Maximum range using largest unconditioned response per individual
EMG: Baseline corrected -  subtract average from 1-20 ms before probe onset
","yes","SCR: Lykken, 1972","not reported","within","2","Repeated-measures ANOVA","rmANOVA","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yetton, Benjamin D. and Cai, Denise J. and Spoormaker, Victor I. and Silva, Alcino J. and Mednick, Sara C.","2019","10.3389/fnhum.2019.00315","Human memories can be linked by temporal proximity","Frontiers in Human Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2019-59105-001&site=ehost-live","Conditioned Fear;Electroconvulsive Shock;fear conditioning;Forgetting;Humanism;Humanities;Humans;Memory;memory linking;memory updating;neuronal ensemble;Neurosciences;Rodents;Shock;Temporal Frequency;temporal proximity","yes","yes","yes","no","CD","74","36","19",NA,"yes","both","SCR, HR, FPSR, memory (d-prime), and relationship between Memory A and B.","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","trials","±3 SD","raw",NA,NA,"raw","raw",NA,NA,NA,NA,"yes","Castegnetti et al., 2016; Blumenthal et al., 2005","average-level","mixed","3","Mixed linear models
","ttest","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wake, Shannon and van Reekum, Carien M. and Dodd, Helen and Morriss, Jayne","2020","10.1007/s10608-020-10113-4","The impact of intolerance of uncertainty and cognitive behavioural instructions on safety learning","Cognitive Therapy and Research","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-35720-001&site=ehost-live","Anxiety;CBT;Cognition;Cognitive Behavior Therapy;Conditioning;Experimental Instructions;Extinction;Extinction (Learning);Galvanic Skin Response;Intolerance of uncertainty;Intolerance of Uncertainty;Learning;Physiological Stress;Psychophysiology;Pupil (Eye);Safety;Self-Report;Threat","yes","no","yes","yes","CD","95","67","24.4","4.41","no","both","IU, STICSA (trait anxiety)","dependent variable","skewness/kurtosis values","before","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","Non-response threshold (<10% responses)",NA,NA,NA,NA,"sqrt / z",NA,NA,"z",NA,"yes","Ben-Shakhar, 1985","average-level","mixed","2","Multilevel models (MLM)","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wake, Shannon and Morriss, Jayne and Johnstone, Tom and van Reekum, Carien M. and Dodd, Helen","2021","10.1016/j.brat.2021.103818","Intolerance of uncertainty, and not social anxiety, is associated with compromised extinction of social threat","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2021-27199-001&site=ehost-live","Anxiety;Extinction (Learning);Extinction learning;Extinction retention;Galvanic Skin Response;Intolerance of uncertainty;Intolerance of Uncertainty;Retention;Skin conductance;Social anxiety;Social Anxiety;Social Learning;Threat;Threat acquisition","no","no","no","no","CD","175","175","19.6","1.39","yes","both","Intolerance of Uncertainty (IU), Social Anxiety (SPIN), Trait Anxiety","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","≤10% response rate",NA,NA,NA,NA,"sqrt / z",NA,NA,NA,"Square-root transformation, z-scoring","yes","Standard practice to reduce skew, control for individual differences",NA,"mixed","2","Mixed linear models","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zlomuzica, Armin and Preusser, Friederike and Schneider, Silvia and Margraf, Jürgen","2015","10.3389/fnbeh.2015.00270","Increased perceived self-efficacy facilitates the extinction of fear in healthy participants","Frontiers in Behavioral Neuroscience","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2016-19802-001&site=ehost-live","anxiety disorders;exposure therapy;extinction;Extinction (Learning);Fear;fear conditioning;self-efficacy;Self-Efficacy;self-regulation;Self-Regulation;top-down control","no","no","no","no","CD","57","29","23.8","5.35","yes","individual","skin conductance, valence, contingency ratings","residuals","z-scored","after","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"z",NA,NA,NA,"z-transformation","no","not reported","trial-level","mixed","2","mixed ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vicario, Carmelo M. and Nitsche, Michael A. and Hoysted, Isabel and Yavari, Fatemeh and Avenanti, Alessio and Salehinejad, Mohammad A. and Felmingham, Kim L.","2020","10.1016/j.brs.2019.12.022","Anodal transcranial direct current stimulation over the ventromedial prefrontal cortex enhances fear extinction in healthy humans: A single blind sham-controlled study","Brain Stimulation","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2020-07486-025&site=ehost-live","Advertising;Conditioned Fear;Extinction (Learning);Humanism;Humanities;Humans;Medial Prefrontal Cortex;Posttraumatic Stress Disorder;Prefrontal Cortex;PTSD Post-traumatic Stress Disorder;Responses;SCR Skin Conductance Response;SEM Standard Error Mean;tDCS Transcranial Direct Current Stimulation;Transcranial Direct Current Stimulation;vmPFC Ventro-Medial Prefrontal Cortex","no","no","no","no","CD","32","17","24.15",NA,"unclear","individual","Group (anodal vs. sham), stimulus type (CS+ vs. CS-), SCR","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt",NA,NA,NA,"Square-root ","yes","reduce variability (Mascha van 't Wout et al., 2016)","not reported","mixed","2","Repeated-measures ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yates, Alan and Ashwin, Chris and Fox, Elaine","2010","10.1037/a0020325","Does emotion processing require attention? The effects of fear conditioning and perceptual load","Emotion","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-23146-001&site=ehost-live","Adolescent;attention;Attention;Conditioning;Conditioning (Psychology);Distraction;emotion processing;Emotions;Facial Expression;Fear;fear-conditioning;Female;Human Channel Capacity;Humans;Male;Mental Processes;perceptual load;Selective Attention;threat;Threat;Visual Perception;Young Adult","no","no","no","no","CD","43","29","25.2","5.18","not reported","both","trait anxiaty, SCR","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","Error rate >3 SDs from mean",NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"rc: dividing each participant’s raw SCR values by that participant’s maximum SCR amplitude","yes","to normalize distribution, Lykken, 1972
","trial-level","within","3","Repeated measures ANOVA","ttest","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vansteenwegen, Debora and Vervliet, Bram and Hermans, Dirk and Beckers, Tom and Baeyens, Frank and Eelen, Paul","2006","10.1016/j.brat.2005.10.014","Stronger renewal in human fear conditioning when tested with an acquisition retrieval cue than with an extinction retrieval cue","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-20118-004&site=ehost-live","acquisition retrieval cue;Association Learning;Conditioned Fear;Conditioning (Psychology);Cues;Extinction (Learning);extinction retrieval cue;Extinction, Psychological;Fear;Galvanic Skin Response;human fear conditioning;Humanism;Humanities;Humans;Inhibition (Psychology);Lighting;Psychophysics","no","no","no","no","CD","32",NA,NA,NA,"not reported","individual","SCR, retrospective US-expectancy ratings","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"Range correction formula using the largest unconditioned response elicited by the shock(Lykken & Venables, 1971)","yes","reduce variability, Lykken & Venables, 1971","trial and average level","mixed","5","Repeated measures ANOVA","","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vervliet, Bram and Vansteenwegen, Debora and Eelen, Paul","2004","10.1101/lm.77404","Generalization of extinguished skin conductance responding in human fear conditioning","Learning & Memory","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2004-19377-011&site=ehost-live","Association Learning;Conditioned Fear;conditioned stimulus;Conditioned Stimulus;Conditioning, Classical;Cues;extinction;Extinction (Learning);Extinction, Psychological;Fear;Galvanic Skin Response;human fear conditioning;Humanism;Humanities;Humans;Mental Recall;Reference Values;Response Generalization;skin conductance response;Skin Resistance","no","no","no","no","CD","36",NA,NA,NA,"not reported","individual","SCR, shock expectancy, and group (ABA vs. AAB)","dependent variable","square root","before","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"Range correction formula using the largest unconditioned response elicited by the shock(Lykken & Venables, 1971)","yes","Normalize distribution (no ref)","average-level","mixed","2","ANOVA","rmANOVA","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wood KH and Ver Hoef LW and Knight DC","2012","10.1016/j.neuroimage.2011.12.048","Neural mechanisms underlying the conditioned diminution of the unconditioned fear response.","NeuroImage","https://pubmed.ncbi.nlm.nih.gov/22227141/","*Magnetic Resonance Imaging;Brain/*physiology;Conditioning, Classical/*physiology;Fear/*physiology;Female;Humans;Male;Young Adult","no","no","no","no","CD","24","12","20.83","0.64","yes","both","Trait anxiety, UCS expectancy, SCR","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"raw",NA,NA,NA,"Unconditioned SCRs were calculated as the maximum SCR during the 10 s following the UCS presentation as compared to baseline","no",NA,"trial-level","mixed","3","Repeated measures ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zeidan MA and Lebron-Milad K and Thompson-Hollands J and Im JJ and Dougherty DD and Holt DJ and Orr SP and Milad MR","2012","10.1111/j.1755-5949.2011.00238.x","Test-retest reliability during fear acquisition and fear extinction in humans.","CNS neuroscience & therapeutics","https://pubmed.ncbi.nlm.nih.gov/21592319/","Adult;Conditioning, Psychological/*physiology;Electric Stimulation/adverse effects/methods;Extinction, Psychological/*physiology;Fear/*physiology/*psychology;Female;Humanism;Humanities;Humans;Longitudinal Studies;Male;Middle Aged;Photic Stimulation/*methods;Reaction Time/drug effects/physiology;Reproducibility of Results;Young Adult","no","no","no","no","LD","18","9","38","12.7","yes","both","SCR","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt","raw",NA,NA,"for negative SCR values, the square root of the absolute value was taken and then the negative sign replaced","yes","to reduce heteroskedasticity (no ref)","trial-level","within","5","ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vansteenwegen, Debora and Crombez, Geert and Baeyens, Frank and Eelen, Paul","1998","10.1017/S0048577298970998","Extinction in fear conditioning: Effects on startle modulation and evaluative self-reports","Psychophysiology","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=1998-11668-010&site=ehost-live","Adolescent;Adult;Attitude;college students;Conditioned Stimulus;Conditioning, Classical;electrocutaneous UCS & startle modulation as valenced CS;evaluative fear conditioning & extinction;Extinction (Learning);Extinction, Psychological;Eyeblink Reflex;Fear;Female;Galvanic Skin Response;Humans;Male;Reflex, Startle;Startle Reflex;Unconditioned Stimulus","no","no","no","no","CD","38","29","19",NA,"not reported","both","valence ratings, arousal ratings, SCR, startle EMG","not reported",NA,NA,"not reported",NA,"yes","Greenhouse–Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"yes","subjects","unstable baseline, fewer than 20 valid data points",NA,NA,"raw","raw","log",NA,NA,NA,"LN(SCR + 1)","yes","Normalize distribution (no ref)","not reported","mixed","2","Repeated measures ANOVA","ttest","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"van Well S and Visser RM and Scholte HS and Kindt M","2012","10.3758/s13415-012-0089-7","Neural substrates of individual differences in human fear learning: evidence from concurrent fMRI, fear-potentiated startle, and US-expectancy data.","Cognitive, affective & behavioral neuroscience","https://pubmed.ncbi.nlm.nih.gov/22451349/","*Individuality;Adolescent;Adult;Amygdala/*physiology;Anxiety/physiopathology;Brain Mapping;Conditioning, Classical/*physiology;Fear/*physiology;Female;Hippocampus/*physiology;Humanism;Humanities;Humans;Magnetic Resonance Imaging;Male;Reflex, Startle/*physiology","no","no","no","no","CD","40","26","22.4","2.6","yes","both","ASI, STAI-T, SPQ, EMG, US-expectancy","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,"raw","t",NA,NA,NA,NA,NA,"yes","to remove MRI artifacts and adjust for individual differences (Allen et al., 2000)","not reported","mixed","2","ANOVA","ttest","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vervliet, Bram and Kindt, Merel and Vansteenwegen, Debora and Hermans, Dirk","2010","10.1016/j.brat.2010.07.002","Fear generalization in humans: Impact of prior non-fearful experiences","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2010-21796-002&site=ehost-live","Adult;Analysis of Variance;anxiety;Anxiety;Conditioned Fear;Conditioning, Classical;Electroshock;Extinction, Psychological;Fear;fear conditioning;fear generalization;Female;Generalization (Psychology);Humanism;Humanities;humans;Humans;Male;non-fearful experiences;Photic Stimulation;Stimulus Generalization","no","no","no","no","CD","38","23","23.4","3.9","not reported","both","SCR, US-expectancy","not reported",NA,NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"z",NA,NA,NA,NA,"yes","in order to minimize interindividual differences in the general amplitude of skin conductance responses (nor ref)","not reported","mixed","2","Mixed ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Williams, Amy E. and Rhudy, Jamie L.","2007","10.1016/j.jpain.2007.03.004","The influence of conditioned fear on human pain thresholds: Does preparedness play a role?","The Journal of Pain","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2007-10376-010&site=ehost-live","Adolescent;Adult;Cognition;conditioned fear;Conditioned Fear;conditioned stimuli;Conditioning (Psychology);Emotions;Extinction, Psychological;facial expressions;Facial Expressions;Fear;Female;Galvanic Skin Response;Habituation, Psychophysiologic;human pain thresholds;Humanism;Humanities;Humans;Hyperalgesia;Male;Neuropsychological Tests;Pain;Pain Measurement;Pain Threshold;Pain Thresholds;Photic Stimulation;preparedness;Reaction Time;Surveys and Questionnaires","no","no","no","no","CD","57","36","20.46","1.74","yes","individual","SCR, SAM (Self-Assessment Manikin)","not reported",NA,NA,"not reported",NA,"yes","Greenhouse–Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"raw",NA,NA,NA,"SCR: baseline subtraction was used: mean skin conductance in the 1 second before stimulus was subtracted from epochs; maximum increase 1–4 sec after stimulus was used.","yes","Venables & Christie, 1980","not reported","mixed","2","Repeated-measures ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vervliet, Bram and Vansteenwegen, Debora and Hermans, Dirk and Eelen, Paul","2007","10.1016/j.brat.2006.01.009","Concurrent excitors limit the extinction of conditioned fear in humans","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2006-22431-015&site=ehost-live","Conditioned Fear;Conditioning (Psychology);electric shock;Electroconvulsive Shock;electrodermal response;Electroshock;extinction;Extinction (Learning);Extinction, Psychological;Fear;fear conditioning;Galvanic Skin Response;Generalization (Psychology);Humanism;Humanities;Humans;Photic Stimulation","no","no","no","no","CD","28",NA,NA,NA,"not reported","both","SCR","dependent variable","Square root transformation","before","not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"rc: using the largest US response as max range for each individual; then square root transformed","yes","Normalize distribution (no ref)","not reported","within","2","ANOVA","other","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vansteenwegen, Debora and Hermans, Dirk and Vervliet, Bram and Francken, Geert and Beckers, Tom and Baeyens, Frank and Eelen, Paul","2005","10.1016/j.brat.2004.01.001","Return of fear in a human differential conditioning paradigm caused by a return to the original acquistion context","Behaviour Research and Therapy","https://search.ebscohost.com/login.aspx?direct=true&db=psyh&AN=2005-02450-004&site=ehost-live","behavior therapy;Behavior Therapy;Classical Conditioning;Conditioned Fear;conditioning paradigm;Conditioning, Classical;differential conditioning;Extinction, Psychological;Fear;fear renewal;fear-conditioning;Galvanic Skin Response;human fear;Humanism;Humanities;Humans;Lighting;Models, Psychological;Paradoxical Techniques;Psychological Tests","no","no","no","no","CD","40",NA,NA,NA,"not reported","individual","SCR, US-expectancy","not reported",NA,"not reported","not reported",NA,"yes","Greenhouse–Geisser correction","not reported",NA,"not reported",NA,"not reported",NA,"no",NA,NA,NA,NA,NA,NA,"sqrt / rc",NA,NA,NA,"rc:used largest unconditioned response as maximum; then square root transformation.","yes","Normalize distribution (Prokasy & Kumpfer, 1973; Dawson et al., 2000; Lykken & Venables, 1971)","not reported","mixed","5","ANOVA","rmANOVA","5","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
